restaurant_overall_rating,user_review_title,user_review,restaurant_name,user_num_reviews,user_helpful_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name
4.0,Bottomless Bloody Mary / mimosa 😛,"The drinks , awesome. Service, awesome. Food , awesome!!! Everything was great. Must have a laid back, fun personality in order to enjoy.",Level One,27,22,"September 29, 2015",Tennessee,/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",michael14nicole
4.0,Sunday Funday,"I have NEVER had a bad time here. I've sat here with friends, lovers, and family and enjoyed it every single time. It has actually gotten better believe it or not. Mimosas are my weakness so bottomless ones make my life so much better. lol",Level One,26,16,"September 2, 2015","Milford, Delaware",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Brandon R
4.0,Great Sunday Bruch!!,"Our son & girlfriend just moved into the district the day before and we went down there to see them. Saw this place was close, so we stopped in for brunch. WOW, what a place! The general manager came by, introduced himself and when he found out they just moved in, he gave them a list of grocery stores and...


More",Level One,67,16,"August 17, 2015","Vineland, New Jersey",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Stu C
4.0,More delicious than before,"As my last visit last year, I love this place. Excellent... food, atmosphere, location. Good prices too. The food is actually a step up than before as the new manager has upped the quality of ingredients in many items. This is definitely a must visit place for me!",Level One,58,18,"August 12, 2015","Asheville, North Carolina",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",WNCEpicurian
4.0,Great time,"Good food, good service, good patio. I would recommend this place for Sunday or Saturday brunch. People are nice and the food is good. Great to sit and watch the people walk by.",Level One,26,6,"July 28, 2015",,/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Adam W
4.0,Delicious,"This place is for fun loving open minded individuals. During Breakfast they provide a FABULOUS drag queen Show. They love audience participation. If you can hang, tips are optional, I encourage to have them available. We had a GREAT time!",Level One,22,9,"July 7, 2015","Los Angeles, California",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",wattscoffeehouse
4.0,What a Disappointing Place,"Arrived walking 5 minutes from our hotel with my wife and daughter and we were looking forward to have a good brunch!
Time was about 11 am , the outside verandah looks nice and cosy , there was only one table with 4 people that just got seated before us !
We were told about their 90 minutes sitting time...


More",Level One,88,62,"July 5, 2015","Natal, RN",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,2.0,44,"Washington, DC",GoodBadUgly1956
4.0,Gurl it's brunch!,Delivers great food with fun and sass! Sat outside. Bottomless mimosa for $12. Really recommend the 'gurl it's a brunch bowl' and the french toast. Portions are large!,Level One,17,8,"June 10, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Ashley S
4.0,Unexpected Delight.,"Found Level One because a friend in DC took me there, I must say the servers are great, food was delicious and the location is great to watch people job by while your eating a burger and fries. Loved everything about Level One",Level One,4,0,"June 5, 2015","New York City, New York",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Marc C
4.0,Sunday Brunch,"It was okay. Standard brunch fare, not too expensive. Friendly service. Nothing special to rave about but nothing to complain about either.",Level One,6,8,"May 10, 2015","Cranston, RI",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,3.0,44,"Washington, DC",NinkyCranston
4.0,Level One - I LOVE IT!,"In January, I went with a few other friends to celebrate my friend's birthday. We went to ""Drag Brunch"" on a Saturday. They put on a show. It was wonderful! We had so much fun. The food and drinks were really good. We were able to order all you can drink Bloody Mary's & Mamosa's for an extra fee. But...


More",Level One,43,16,"March 19, 2015",maryland,/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",dallas2005
4.0,Loved It!,"Brunch party of 10 people showed up, and staff quickly and happily made a seating arrangement for our party. Location and atmosphere are awesome, delicious foods, good prices, and awesome staff. The only minor complaint pertained to our waitress... she was very professional but lacked any happy note as she was stone faced business only, no smile(s), not really friendly...


More",Level One,58,18,"December 27, 2014","Asheville, North Carolina",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",WNCEpicurian
4.0,Yummy!,"Enjoyed brunch outside! We started off with a delicious Bellini and bottomless Bloody Mary/Mimosa. Smoked Salmon Betty, Blueberry pancakes, and Steak and Eggs were fabulous! This was the best Chimichurri sauce I have ever had. The service is speedy and everyone was very friendly.",Level One,14,7,"September 29, 2014",Florida,/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Pamela B
4.0,Wonderful,We just came here to eat a burger and it was awsome. We really loved the food and thwe servixe was wow. Keeks was our waitress. She was really helpful amd nice with us. We will def come back!!,Level One,23,11,"July 26, 2014","Barcelona, Spain",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",barcel0na_nuria
4.0,this place has changed,"three years ago, i remember waiting an hour for one of their creations that never came, last year, the same thing happened with ""chicken on a stick"" which apparently was just that. It's really downmarket with a bland caesar salad with burned croutons or a brunch service of mushy potatoes with sour cream, good news is all $10 so you...


More",Level One,50,13,"July 25, 2014","Washington DC, District of Columbia",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,3.0,44,"Washington, DC",rufkdlk_10
4.0,Really Gurl????,"Well- this restaurant is supposedly rated #1. Not so in my book.
We arrived early (before our reservation) and were seated, great.
Too few servers for the number of customers. Service was slow.
Finally my entree- Spinach, Feta, Cucumber and Tomato Salad with Grilled Chicken. It was missing the dressing, the croutons and the kalamata olives. Finally, when I was...


More",Level One,60,80,"July 7, 2014",nyc,/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,1.0,44,"Washington, DC",professorcg
4.0,GOOD FOOD HUN!!,I loved this place! The food and service was excellent and the bottomless mimosas were tops! I will be back for sure!,Level One,26,16,"June 26, 2014","Milford, Delaware",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Brandon R
4.0,Brunch at it's Best!,"We lucked out and got great seats on the patio (no reservations and DC Pride weekend)....the cutest little hostess worked us in. The food was scrumptious as well as the service. Wish I could have taken advantage of the $15 bottomless Mimosas....but didn't have a day to recover! Check it out when in DC.......located just above DIK and Annie's on...


More",Level One,34,7,"June 9, 2014","Stokesdale, NC",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",tch469
4.0,Don't believe the hype!!,"My fiancé and I enjoy finding brunch options in DC and we gave Level One a try this weekend.
We were the first to be seated, as we arrived at 10, when they opened. Despite being the first and only two in the restaurant, it took 45 minutes to be served. To be clear, we only ordered pancakes, a side...


More",Level One,17,11,"May 20, 2014","Washington DC, District of Columbia",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,2.0,44,"Washington, DC",Geri G
4.0,Not sure what the hype is about,"Decent kitschy decor, excellent service, but the food was inconsistent. I had the quiche, which had a great flavor and consistency, but a burnt, thick crust. The truffle fries were perfectly cooked and seasoned. My companion had the spinach frittata, which was downright gross- dry, unseasoned, uninspired, with undercooked veggies. The potatoes that came with it looked promising, but didn't...


More",Level One,61,13,"January 12, 2014",,/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,2.0,44,"Washington, DC",Kburks
4.0,Amazing Brunch,"My friends and I went to Level One for brunch and what a great time. Bottomless mimosas/blood marys are a definite attraction. We sat outside (yes in October) and it was just wonderful. The food was excellent. Probably the best was the service. Jason was our waiter and was just wonderful. Fun, personable, helpful and overall fabulous. The host at...


More",Level One,60,23,"October 24, 2013","Hong Kong, China",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",FabulousMissM
4.0,Great choice for brunch if you are in the 17th street area,"I was searching for an outdoor setting on a Saturday after a workout and stumbled upon this place on a prominent corner on the 17th st. commercial strip. Wasn't sure I could get in (I was solo) as a hand-written sign suggested reservations were preferable and a time limit imposed (for the bottomless mimosas and bloody mary's, no doubt.) Got...


More",Level One,282,136,"September 1, 2013","Washington, DC",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,4.0,44,"Washington, DC",Decoamie
4.0,"Weekend Brunch? Yes, Mommy!","Disco Brunch on Saturday & Sunday is killer. Bottomless mimosas & bloody Mary's. I mean, can you get any better? The service is good, and the cocktails just keep coming. I love a server who knows the meaning of the term ""bottomless"". Have the eggs benedict with crab cakes and you won't be disappointed. Then walk home and take a...


More",Level One,12,8,"May 12, 2013","Parkersburg, West Virginia",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,5.0,44,"Washington, DC",Benwt77
4.0,"Fun, hip, and lively, with solid food and a great bar","This is not Dennys... it isn't tame; it's also not lame. Good food, fun atmosphere, and the brunch is pretty awesome. Can be rowdy sometimes, and it's popular, so if it's a typically busy time, either call ahead or expect a wait... which isn't the end of the world, people; belly up to the bar, get a drink (uniformly good...


More",Level One,3,0,"April 5, 2013","Fairfax, VA",/Restaurant_Review-g28970-d1991277-Reviews-Level_One-Washington_DC_District_of_Columbia.html,4.0,44,"Washington, DC",vyctorlazlow
