restaurant_address,restaurant_overall_rating,user_review,restaurant_name,restaurant_phone,user_num_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name,restaurant_latitude,restaurant_longitude,user_latitude,user_longitude,user_restaurant_distance,user_is_local,user_review_length,user_rating_mean_for_restaurant_yelp,user_rating_mean_for_restaurant_yelp_local,user_rating_mean_for_restaurant_yelp_non_local
"2940  MurfreesboroNashville, TN 37013",3.0,It is a great place to eat and drink. I always order the Lemon Pepper wings because they are good. The service is not fast but what can you expect when you want quality? I normally go every Thursday.  Nice chill spot to get away from all that suit and tie type stuff. Great service. The owner was Steve McNairs best friend and he serves food at an MVP type level.,Crossroads Grille,6159533409.0,1.0,2015-05-20,"Nashville, TN",/biz/crossroads-grille-nashville,5.0,9,"Washington, DC",Dallas J.,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,364.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"New owners don't accept Entertainment book coupons. Drove all the way there to try sometime no new only to find a sign on the door that they don't accept them. I've found several places that I now visit often because of the coupon. That's their decision, but before you drive out there, be warned.",Crossroads Grille,6159533409.0,7.0,2015-09-09,"La Vergne, TN",/biz/crossroads-grille-nashville,1.0,9,"Washington, DC",Brandon S.,38.8949549,-77.0366456,36.01561779999999,-86.58193940000002,560.7376631187987,False,297.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"This place is under new management. I frequent Crossroads when I have a taste for some really good wings. He has a signature sauce called Sweet Mississippi that is to die for! It has a honey base, but I'm not sure what else is in there. The stuff is just good! I've heard the burgers are really good, but I havent tried one yet. Bartenders are very friendly and there are daily lunch specials. There are also nightly events like Ladies Night, Karaoke night, etc. I just wish the website was updated to reflect the new ownership and menu, but I think the Facebook page is up to date. Definitely check it out.",Crossroads Grille,6159533409.0,29.0,2015-05-06,"Antioch, TN",/biz/crossroads-grille-nashville,5.0,9,"Washington, DC",Amber E.,38.8949549,-77.0366456,35.147859000000004,-87.3214064,624.1319461040275,False,607.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"I've only ever been here twice. Both times were for take-out because I was under the impression that it was probably still owned by the same people who owned Mister P's prior to this establishment. (same spot)The reason I bothered with a review is because I enjoyed their hot wings that much. Enough so to say it's probably the spot to go to for wings if you're in Antioch. As far as Nashville goes? Probably not, but definitely in Antioch. It's also why I gave them a 3-star rating.As far as the rest of the menu goes I have not tried it.The place itself seemed to have a divey feel to it. If you're in the area and you're into that sort of thing it's neat place to check out but that's not really my scene but they did have a good showing of people there - all of which I'm assuming are regulars.As far as service goes - I can't say much on it since it was just takeout but the bartender was extremely nice. I arrived a bit early but she was overly friendly to me as I waited.",Crossroads Grille,6159533409.0,72.0,2014-02-14,"Nashville, TN",/biz/crossroads-grille-nashville,3.0,9,"Washington, DC",Jonathan B.,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,978.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"The food here is your average bar food, nothing that stands out. The service was incredibly slow. Though we were literally the only 2 customers in the restaurant, it took over 20 minutes to get a burger & a sandwich. Not impressed.",Crossroads Grille,6159533409.0,19.0,2014-04-25,"Nashville, TN",/biz/crossroads-grille-nashville,2.0,9,"Washington, DC",Ashley V.,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,231.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"Place was fairly full when we got there.  Which we thought was a good sign for 6:05pm, but every table was covered with beer bottles and not a single person was eating food. Not a good sign for dinner time. We grabbed a table and sat for a while anyways. Music was kinda 'bumpin' for a Tuesday afternoon, and after the second or third Beyoncé song, a server came and asked if we wanted anything. Our response of ""a couple of menus please"" really caught her off guard, lol. After a short glance at the menus, we found a few things we wanted to order. However, by the time 6:40pm rolled around, we still hadn't seen our server since she had dropped off the menus. We were even hungrier than when we had got there, so we just kind of gave up on getting waited on, and we left. Looks like unless you walk up to the bar and order a bucket of beer, you're gonna be out of luck here. On a positive note, our check ended up being $0 which made this place very affordable. Lol",Crossroads Grille,6159533409.0,11.0,2014-05-14,"Nashville, TN",/biz/crossroads-grille-nashville,2.0,9,"Washington, DC",J H.,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,969.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"Hey Nashville!  It's official, this place has a legitimate hot chicken challenge.  6 Wings in 6 Minutes or else you pay for it!  Sounds easy, sounds harmless, but it's not!  Taylor requires you to sign a waiver, they provide gloves (you WILL need these), and they post your picture on their wall (in the actual restaurant) for everyone to see.  The hot sauce recipe is of course kept confidential, but what I'm allowed to disclose is that one of the ingredients is considered to be a Guinness World record holder.  Curious?  Go check 'em out!",Crossroads Grille,6159533409.0,3.0,2013-03-15,"Nashville, TN",/biz/crossroads-grille-nashville,5.0,9,"Washington, DC",Ranjit B.,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,549.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"Crossroads Grille is one of those restaurants that no one knows about that should get on the band wagon quick! First off I want to start with the staff. Very friendly and down to earth! Whether you're having lunch, watching the game or just chilling out for a drink, they'll cater to your every need. The owner is all about the people. I like that fact that he's just this young guy that has a restaurant and treats people like you've entered his home. I can tell he's going to go a long way with it. Kudos to the staff!Now let's talk about the food. I've only tried a few things off the menu (basically eating off other people's plates! Haha!). I wanted to start things off by trying the wings first. I tried the Cajun Rub wings and the basic hot wings but my favorite of course was the Cajun. Very saucy, peppery and it's comes with a kick of heat to let you know that you're not going to just stick your face in them! Haha! Comes with time! They're so good! If you're in the mood for wings, order them and get your fingers ready because you're going to be licking every bit of that sauce! Mmm yummy! Fried pickles? No problem! Could compete with Hooters, which in my opinion is the best fried pickles I've ever had. I noticed a lady beside me that ordered a Blues Burger which is basically a huge bacon cheeseburger soaked in bleu cheese, lettuce, tomato and onions. I think that's going to be my next option! Everyone in the restaurant, even people that I've talked to around the way has given this place very good reviews on their food. I will be another  to add a review on here to say that their food is really good! The only reason I didn't give it 5 stars is because they're brand new and just taking off. They don't have liquor and I need to try more things off the menu, which I will!!! I will be back! If you live in the Antioch or Cane Ridge area, check out Crossroads Grille immediately! You won't be disappointed! Why are you still reading this? Go!!",Crossroads Grille,6159533409.0,22.0,2012-12-01,"CANE RIDGE, TN",/biz/crossroads-grille-nashville,4.0,9,"Washington, DC",Patrick H.,38.8949549,-77.0366456,35.6615561,-83.8713848,437.5098794391032,False,1966.0,3.111111111111111,,3.111111111111111
"2940  MurfreesboroNashville, TN 37013",3.0,"I ate here about 2 months ago. I have not been back since. The service was extremely slow. There were 5 of us. And about 7 other customers. We were there over 2 hours. The steak was very dry and not flavorful. Maybe I came too soon after they opened, and they had not worked out the kinks. I was very underwhelmed. Also,the manager was nice. One last piece of advice: There needs to be some sort of dress code established. Everyone had on their street clothes. Our waitress had on a tank top w/bra straps showing and some shorts. It looks unprofessional.",Crossroads Grille,6159533409.0,7.0,2012-10-30,"CANE RIDGE, TN",/biz/crossroads-grille-nashville,1.0,9,"Washington, DC",Queen B.,38.8949549,-77.0366456,35.6615561,-83.8713848,437.5098794391032,False,554.0,3.111111111111111,,3.111111111111111
"2420 Lebanon PikeNashville, TN 37214",3.0,"I eat here once a week. I love their teriyaki chicken-on-a-stick. I order it every time i go. The food is great, always hot and you get a lot for your money. And I think the girl behind the counter is cute, lol. Never had a problem with hair in MY food. Best chinese food in Donelson.",China One,6158847878.0,4.0,2015-07-06,"Nashville, TN",/biz/china-one-nashville,5.0,13,"Washington, DC",Timothy M.,38.8949549,-77.0366456,36.1622296,-86.774353,566.7091028370305,False,284.0,3.0,,3.0
