restaurant_address,restaurant_overall_rating,user_review,restaurant_name,restaurant_phone,user_num_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name
"2903 W End AveNashville, TN 37203",4.0,"I had the best sandwich in the history of ever; I grabbed Bag 6 for vegetarian, selected artichoke & provolone, added hummus and a bunch of other veggies and I asked for it to be heated. It was lunch time & the restaurant was fairly busy, so I anticipated a wait, but my order was up in less than 10 minutes - so awesome.My husband, normally a carnivore, says he loved his veggie/soy/quinoa wrap thing he ate. I think it was a featured sandwich - the word ""superfood"" was in the name. The price for our meals (just sandwich & drink, no sides) rang up at less than $10 each. The parking leaves a little to be desired, but it's West End, so that's anywhere you go. Ultimately, the people are nice and the food is freaking phenomenal. Go there, you won't be sorry.",Which Wich,6153299920,27 reviews,2015-10-05,"Nashville, TN",/biz/which-wich-nashville-4,4.0,70,"Washington, DC",Katie S.
"2903 W End AveNashville, TN 37203",4.0,"first time having which wich (I KNOW?!?!?! i grew up in nashville and it took me this long to try it?!) omg. its. so. good.first of all, get the hot sammich. its crunchy and fantastic and not too bready and great quality... omg yums.so how which wich operates is you walk in, and you grab from their many little bins of sandwich brown bags that you want the base of your sammich to be. may it be turkey or ham or veggie or something else, you just grab the base of the one you want. then, you can customize it. you check on the bag certain things you want to add or not have on there. Then you write your name on the bottom of it (anything you want, i've seen some hilarious ones on social media). Then you pay for it, wait for it, and they call your name out super quickly. There are 3 sizes, and believe me, the small may seem small but it really isnt! I came here and got a turkey bacon HOT sammich. It was fast, they were incredibly friendly (shoutout to the register boy) and it was DELICIOUS!!! I will DEFINITELY come back again.the small sandwich by itself was ~$4-5. definitely worth it!  I love which wich. now come to memphis. :]",Which Wich,6153299920,240 reviews,2015-09-15,"Memphis, TN",/biz/which-wich-nashville-4,5.0,70,"Washington, DC",Christine L.
"2903 W End AveNashville, TN 37203",4.0,"For a chain sandwich shop, this Which Wich never disappoints.The staff is here is excellent, really friendly and the mood is always good. (There is nothing worse than a moody, resentful sandwich artist making your lunch.... Looking at you, Subway).I always get the same thing - Chicken Pesto wich with provolone, lettuce, onion, tomato. YUM.  Only problem with this location is parking, but I usually find something relatively close. Indoor seating is also a little small, but the wiches are portable and Centennial Park is just across the street.",Which Wich,6153299920,42 reviews,2015-05-07,"Nashville, TN",/biz/which-wich-nashville-4,4.0,70,"Washington, DC",Katie B.
"2903 W End AveNashville, TN 37203",4.0,"A great sandwich at all locations. Since moving to Nashville in the fall of 2013 I have dined at a number of the locations and love the concept of ordering. Its easy, hassle free, and you are always guaranteed to receive your correct order because you write it out! So what are the cons? The price you pay for quality is lower. If your looking to grab and go then this place isn't for you. The day that I visited this location there was a moderate crowd and it took a while to receive the sandwiches, even though, in my opinion, there were more than enough staff to complete the orders placed before us. I prefer Jimmy John's, not because of their freaky fast guarantee, but because the price meets the quality.",Which Wich,6153299920,104 reviews,2014-10-17,"Nashville, TN",/biz/which-wich-nashville-4,3.0,70,"Washington, DC",Jim V.
"2903 W End AveNashville, TN 37203",4.0,"Quite honestly, this is really just a sub shop with its own gimmick. Write what you want on a bag. Oooh , ahhh. The sandwiches are ok but nothing spectacular. There are no suggestions as to a good complement to each sandwich. In a word, average.",Which Wich,6153299920,53 reviews,2015-03-30,"Waterford Township, MI",/biz/which-wich-nashville-4,3.0,70,"Washington, DC",Bill S.
"2903 W End AveNashville, TN 37203",4.0,"I like the DIY ordering.   This is a great idea.  It leaves little room for error.  Orders are not going to be misinterpreted when they are written down by the customer!  Right?  Right?  Anybody?The sandwiches were decent.  I liked the bread.  It was crusty and fresh and tasted great.The meat was standard issue deli turkey.  Nothing to bitch about.  Nothing to rave about.There were abundant vegetables to choose from to compliment your meat and bread.  They were fresh and the portions were generous.Lots of dressing and sauce options were available for those of you who like that sort of thing.The house made potato chips were pretty good.  I like that cracked pepper thing.  Sexy Beast did not like them.He did, however, like the brownie that he wasn't supposed to be eating, anyway.The dining room was relatively clean and the staff was friendly.  We'd likely not take a special trip for the sandwiches but, if we were in the area, might stop in again.",Which Wich,6153299920,778 reviews,2013-12-24,"Louisville, KY",/biz/which-wich-nashville-4,3.0,70,"Washington, DC",Victoria T.
"2903 W End AveNashville, TN 37203",4.0,"First off, I will never come back to this restaurant. I came to this location around 1:30, so after the lunch rush. Only 2 people in front of me and 2 more bags already hanging. After putting in my order, I sat and waited for 15 minutes before I was informed by an employee that they were out of the meat for my sandwich; however, this was not the case because another employee claimed they had it. After waiting for another 15 minutes and still no sandwich,  I went up and request a refund. I left the store after waiting a half hour with no sandwich in hand. The employees offered no apologies for the wait and became immediately hostile and disgruntled when I requested my refund. This is the worst restaurant experience I have had in the past year.",Which Wich,6153299920,2 reviews,2014-08-26,"Palos Verdes Peninsula, CA",/biz/which-wich-nashville-4,1.0,70,"Washington, DC",Richard L.
"2903 W End AveNashville, TN 37203",4.0,Good stuff and fast service...Pleasant surprise after getting screwed over at iHospital.,Which Wich,6153299920,31 reviews,2014-07-21,"Hendersonville, TN",/biz/which-wich-nashville-4,4.0,70,"Washington, DC",Jeff H.
"2903 W End AveNashville, TN 37203",4.0,"You know it's just a chain sandwich shop, but it's leaps and bounds better than the competitors. Their bread is better, and if you don't like a bread-y sandwich, you can get it 'skinny' with the extra cushion bread scraped out. Like a thin crust sandwich. Which wich has way more toppings than you're used to- all fresh and awesome. I like hummus on mine, with guac and mushrooms, and veggies galore. It's a different ordering system, since you take your time formulating your perfect sandwich recipe on a list you select. Then you give them the list bag and they whip it together. It's a really quick process. Which Wich is better than Quiznos, which is better than Subway. I'd drive past three Subways to get lunch at a Which Wich, any day.",Which Wich,6153299920,201 reviews,2013-10-03,"Los Angeles, CA",/biz/which-wich-nashville-4,5.0,70,"Washington, DC",Sandy W.
"2903 W End AveNashville, TN 37203",4.0,"Gloves don't make food service more sanitary if they are used constantly while touching everything including food, face, and open containers of meat.  Our food was stacking up in the oven and the crew was moving at half speed.  One employee worked the register (but they weren't busy), the second person was walking from the front line to the back room (empty hands the whole time) and the third guy was busy refilling mayo containers.  After our sandwiches sat for 3-5 minutes, the second employee dressed and wrapped them.  Obviously our juicy hot choices were tepid and blah.  Just a bizarre experience to see, though it did curb my appetite which is an effective way to cut down on calories.",Which Wich,6153299920,102 reviews,2012-03-22,"Cordova, TN",/biz/which-wich-nashville-4,2.0,70,"Washington, DC",Christopher L.
