restaurant_address,restaurant_overall_rating,user_review,restaurant_name,restaurant_phone,user_num_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name,restaurant_latitude,restaurant_longitude,user_latitude,user_longitude,user_restaurant_distance,user_is_local,user_review_length
"2264 Lebanon RdNashville, TN 37214",4.0,Quite impressed. They automatically bring out warm rolls and a white bean with olive oil and rosemary dip that that is a very nice combination of flavors. I started with the caprese salad which was large enough for two and the buffalo mozzarella was fresh and yummy for my entree I had the ravioli stuffed with smoked gouda topped with an alfredo sauce and caramelized onions the ravioli was al dente has it should be and the combinations of flavors were excellent and of course it was very rich. The service was friendly and attentive the price was reasonable for the quality of food not cheap but certainly not expensive I would highly recommend it and will definitely go back again,Mirko Pasta,6158827990.0,8.0,2015-09-20,"Saint Louis, MO",/biz/mirko-pasta-nashville-4,5.0,66,"Nashville, TN",Frank K.,36.1622296,-86.774353,38.62727329999999,-90.19788890000001,253.6988980498554,False,684.0
"2264 Lebanon RdNashville, TN 37214",4.0,"The food here was a good value for what you get. We were told all the pasta sauce is made to order. When we got the food, the pastas looked great and tasted okay. Nothing memorable. I got the sausage, sage, & apple ravioli with pomodoro sauce (tomato sauce). The sauce is pretty good. A little sweet, which I like. The ravioli pasta was good but the filling could have had more flavor and been more fresh. My wife had spinach pasta with a white wine sauce. The sauce again was tasty but the pasta didn't have any distinct flavors. The fresh mozzarella was cheese but not fresh. The free bean dip was very good and tasty. The Italian nachos were surprisingly good but seemed to be fried pasta with Alfredo sauce. Overall it was good, not great.  We may return if we want just pasta. Oh, BTW, avoid the meatballs...frozen mass produced. Not home made.",Mirko Pasta,6158827990.0,82.0,2015-03-08,"Old Hickory, TN",/biz/mirko-pasta-nashville-4,3.0,66,"Nashville, TN",Arthur M.,36.1622296,-86.774353,36.259775299999994,-86.64777409999998,9.759990805196482,True,850.0
"2264 Lebanon RdNashville, TN 37214",4.0,"I read reviews before we went tonight and it almost scared us off from going, but I'm glad we did! I got the chicken Marsala which wasn't amazing but the app of fried lasagna bites was! Waitress was very attentive too.",Mirko Pasta,6158827990.0,18.0,2015-06-12,"Nashville, TN",/biz/mirko-pasta-nashville-4,4.0,66,"Nashville, TN",Kathryn-Claire B.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,218.0
"2264 Lebanon RdNashville, TN 37214",4.0,"Amazing food. Attentive and efficient staff. Half-price bottles of wine. Convenient location.Who could ask for anything more?(and the bean dip, ooooooooohhh that bean dip!!!)",Mirko Pasta,6158827990.0,6.0,2015-01-28,"Clarksville, TN",/biz/mirko-pasta-nashville-4,5.0,66,"Nashville, TN",Rhonda A.,36.1622296,-86.774353,36.528591799999994,-87.3098696,39.120088441281105,True,174.0
"2264 Lebanon RdNashville, TN 37214",4.0,Found this place because it was close to our hotel and had good reviews.  It did not disappoint !  The fried lasagna appetizer was really good and everyone was impressed by their meals.  The prices are very reasonable for the quality and portions.  I will go back when we are in Nashville again.,Mirko Pasta,6158827990.0,16.0,2015-09-04,"Bartlett, IL",/biz/mirko-pasta-nashville-4,4.0,66,"Nashville, TN",david L.,36.1622296,-86.774353,41.9908485,-88.18500279999998,409.148314750861,False,299.0
"2264 Lebanon RdNashville, TN 37214",4.0,"Wonderful, romantic place. Great wine  selection, homemade pasta, great table presentation. Lovely atmosphere",Mirko Pasta,6158827990.0,7.0,2015-09-05,"Nashville, TN",/biz/mirko-pasta-nashville-4,5.0,66,"Nashville, TN",Mickey D.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,110.0
"2264 Lebanon RdNashville, TN 37214",4.0,"I give this place 3 stars only because the the staffs were nice, but the food I give two stars!! Tuscan stew is what's shown in the picture above, most of the sea food was not Fully cooked. The shell fish was partially open which means that either the fish was no good, or it was half cooked, i've eaten this Dish lots of times at Carraba's and yet to find anyone that can even come close to them!! My daughter couldn't not finish her food because it was awful she had chicken Alfredo that taste like milk!",Mirko Pasta,6158827990.0,45.0,2015-04-23,"Nashville, TN",/biz/mirko-pasta-nashville-4,3.0,66,"Nashville, TN",Danny B.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,506.0
"2264 Lebanon RdNashville, TN 37214",4.0,Very great ambiance with great food & great service. My pasta was cooked to perfection & the arrabiata was one of the best Nashville has to offer. I can't wait to come back & indulge in their deserts or wine. This is a DEFINITE must try!!!,Mirko Pasta,6158827990.0,6.0,2015-07-21,"Nashville, TN",/biz/mirko-pasta-nashville-4,5.0,66,"Nashville, TN",Ronette T.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,239.0
"2264 Lebanon RdNashville, TN 37214",4.0,Lasagna Bites appetizers were tasty. Love the crab taglietelle crab pasta dish. And Mirko Truffle Burger was good too. Nice touch with sweet potato fries.,Mirko Pasta,6158827990.0,41.0,2015-04-15,"Atlanta, GA",/biz/mirko-pasta-nashville-4,5.0,66,"Nashville, TN",Greg M.,36.1622296,-86.774353,33.749098700000005,-84.39018490000002,214.41479570403447,False,154.0
"2264 Lebanon RdNashville, TN 37214",4.0,"I have eaten here several times. It doesn't matter if I walk in 30 minutes before they close, I get seated and the servers are so nice. I try not to inconvenience them by walking in so close to closing, but the servers treat me like I walked in way earlier. Their food is excellent, the bread is always fresh and the white bean dip is exquisite. I love the pork tenderloin medallions with the gigantic portobello mushroom and the garlic mashed potatoes. The menu says three medallions but usually there's a fourth and one time I got 5, so they don't skimp on food. I usually take the potatoes home because I can't eat them all, and I'm a big dude, so that's saying something. I have also had the Tuscan stew, and although its a bit spicy, its chock full of hearty seafood, which is great because I LOVE seafood. If you like tasty Italian food at a fair price and honest portions, try this place.",Mirko Pasta,6158827990.0,4.0,2015-07-06,"Nashville, TN",/biz/mirko-pasta-nashville-4,5.0,66,"Nashville, TN",Timothy M.,36.1622296,-86.774353,36.1622296,-86.774353,0.0,True,895.0
