restaurant_overall_rating,user_review_title,user_review,restaurant_name,user_num_reviews,user_helpful_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name,restaurant_latitude,restaurant_longitude,user_latitude,user_longitude,user_restaurant_distance,user_is_local,user_review_length
4.0,Delicious Dining Experience in DC,"Great for a special event (like visiting DC for the first time), Table does a great job of bringing diners farm-to-table menus and seasonal ingredients. The lamb ragout was divine. Portions are quite large for food this rich, I enjoyed two appies rather than an appetizer and a main and was stuffed. Great atmosphere. The service was also excellent.",Table,14,7,"October 12, 2015","Halifax, Canada",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Stephanie M,38.8949549,-77.0366456,44.64842460000001,-63.57497239999999,799.3799124598439,False,349.0
4.0,A great meal,"My daughter lives in DC and scouts out restaurants for us to take her to when we visit. We've been to Table twice and each time has been wonderful. Unlike many DC restaurants, Table serves quality food in a very relaxed atmosphere that is also relatively quiet (at least upstairs), so you can talk to each other across your, pardon...


More",Table,23,13,"October 12, 2015","Fort Worth, Texas",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",DRDTW,38.8949549,-77.0366456,32.753177,-97.3327459,1212.4929840994282,False,341.0
4.0,Hidden gem in Shaw,"We were in the Shaw area of Washington, DC, and my friends recommended we check Table out- they had heard good things. The place is very small, intimate is a better word. We were seated in one of the chef's tables that was available, next to the open kitchen. One friend remarked how there were as many people in the...


More",Table,71,26,"September 21, 2015","Washington, DC",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",acdcusa,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,326.0
4.0,Fine dining with great service in a relaxed environment,"Delicious food, very attentive staff and a beautiful open air dining area on the roof. Table was recommended by a friend and I was not disappointed. The staff were particularly helpful recommending wines. The scallop main and cheese plate were delicious!",Table,4,3,"September 19, 2015","Melbourne, Australia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Anna M,38.8949549,-77.0366456,-37.8142175,144.9631608,10180.056631987822,False,254.0
4.0,Delicious,"The food was sublime, the staff was exceedingly friendly. Its a little noisy but not surprising for a small popular restaurant. The chef accommodated a couple of small requests and our waitress was simply outstanding. Small but ample wine list that can fit small to large wallets. The upstairs is very cute but only accessible by a small staircase.",Table,2,0,"September 13, 2015",,/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Drew S,38.8949549,-77.0366456,,,,,348.0
4.0,"Off the beaten track, but very nice dining!","We went for an anniversary dinner during Sunday evening of the Labor Day holiday weekend. The District was quiet and so was the neighborhood. It was our first visit to the restaurant. While the decor really is quite plain (think retro industrial), the environment works. The kitchen is front and center, something I think fit the space.I was very favorably...


More",Table,22,11,"September 7, 2015","Washington Dc, District Of Columbia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,4.0,81,"Washington, DC",SteveDC20005,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,366.0
4.0,Nice experience but wouldn't go again,"Came here for dinner with a few friends who highly rate this place, however ironically didn't enjoy their meals on this particular night. Fish was quite over cooked & greens were very bitter. The best part for me was the salted watermelon desert - amazing dish! The service was great although somewhat awkward as the waiter sort of hovered over...


More",Table,18,6,"August 17, 2015",Wellington,/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,4.0,81,"Washington, DC",Alicedixon,38.8949549,-77.0366456,-41.2887639,174.7772239,8744.167296015787,False,354.0
4.0,"Fantastic evening, inspired food","Made a reservation here to celebrate my parents' anniversary with some family friends. To ensure we got a comfortable table for our larger party, I contacted the restaurant directly, and received an extremely warm response (thanks Erika!) - they were happy to accommodate our changing needs that week, including the location of the table and the timing of the reservation....


More",Table,9,5,"August 13, 2015","New York City, New York",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",NYCDeeps,38.8949549,-77.0366456,40.730599100000006,-73.9865812,205.8262086077873,False,382.0
4.0,Anticipated more than an average experience,"Everything about this restaurant was okay, but not great. The food was average and so was the service. We ordered a bottle of wine and it was way more expensive than I thought it would be. Lesson learned. Probably won't go back.",Table,17,10,"July 7, 2015","Phoenix, Arizona",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,3.0,81,"Washington, DC",baylessaz,38.8949549,-77.0366456,33.44676810000001,-112.07567240000002,1981.9256581297577,False,228.0
4.0,Exceptional,"Small; 14 tables or so; and so noise is not a problem. Great service: attentive and deeply informed on the details of the menu when asked. And simply terrific food: not over-complex, fresh, good - and sometimes stong - taste combinations. An excellent meal and evening - look east from the over-busy 14th street scene.",Table,21,14,"June 13, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Nigelsimon,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,318.0
4.0,Fun night,"We were warmly greeted and led to the rooftop deck on a perfect evening. Service and the server started well but became erratic as the evening progressed. The food was quite good - inventive, well-prepared and enjoyable. Prices were 5-10% higher than I feel the location and the food merited. I'd consider returning.",Table,100,43,"June 7, 2015",,/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,4.0,81,"Washington, DC",AgentSmithDC,38.8949549,-77.0366456,,,,,316.0
4.0,Unique menue.,"We were scheduled to eat at another restaurant in DC that could not accommodate us and went to Table based on recommendations from a friend. What luck! Four of us shared 5 starters, each of which was unique - squid stuffed with pesto, asparagus with crab, a cheese/meat plate, etc. All were excellent, as were the oysters. The main dish...


More",Table,66,27,"June 6, 2015","Wilmington, North Carolina",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",ChuckP440,38.8949549,-77.0366456,34.2257282,-77.9447107,325.8912238934085,False,346.0
4.0,Friendly and delicious,"I was passing through DC and had just enough time for dinner. Table offered great service and truly delicious food. I ate oysters (with a killer mignonette), and then the guinea hen (crisp, succulent, flavorful skin), and then a banana mousse dessert that knocked my socks off. The waiter suggested a Sancerre wine, which paired nicely. It was not noisy,...


More",Table,22,11,"June 3, 2015","New York City, New York",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",David Z,38.8949549,-77.0366456,40.730599100000006,-73.9865812,205.8262086077873,False,364.0
4.0,Very enjoyable dinner,"Very nice food in an attractive, laid back setting. Serivce was very affable and unlike most other places in DCour waiter did not immediately present is with the bill as soon as we had finished our desserts but allowed us to linger with mo pressure- we were the last to leave the place. Food is well prepared, the quality of...


More",Table,62,22,"May 24, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,4.0,81,"Washington, DC",tradewinder,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,334.0
4.0,fantastic interesting food in an informal setting,"Table is my brand new favorite restaurant in Washington, DC. I've been told that one of the owners was associated with the now closed but wonderful restaurant - Ruperts. the hostess denies this however.
The restaurant is small with an open kitchen. It is informal with an urband feel complete with a roll-down garage door.
The service was friendly, prompt,...


More",Table,30,15,"May 12, 2015",San Francisco Bay Area,/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Schwarcz,38.8949549,-77.0366456,37.7884969,-122.3558473,2437.3288911385603,False,366.0
4.0,Mother's Day Brunch,"I was so happy to get a reservation (especially on Mother's Day!) when I knew I was coming to DC for the weekend. We were able to sit on the lovely rooftop deck. First the bottomless mimosas...then the ricotta beignets, salmon with avacado mousse and the most interesting capers-delicious. Then we had a pear crepe and the eggs benedict, finishing...


More",Table,16,9,"May 10, 2015","Baltimore, Maryland",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",sandinmyshoes21212,38.8949549,-77.0366456,39.2908608,-76.61080729999998,35.63562299880662,True,357.0
4.0,Another example of why farm-to-table restaurants don't necessarily deliver good food.,"To begin: if you happen to be vegetarian you better come with 3-4 people since they will not serve you the 5-course tasting menu if you are on your own.
I have had a lot of good asparagus soups. This was not among them. For starters: don't thicken this kind of soup with flour. No matter how thin you slice...


More",Table,2,0,"April 26, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,1.0,81,"Washington, DC",Ursula D,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,316.0
4.0,"""That Thing You Do"": unique gastronomic feat","Was in DC attending a conference and asked my local friends for some recommendations in the area near the Walter Washington Convention Center. They unanimously came up with Table, and I can honestly say this was one of the best meals I've Ever had. Why? It's very small, and the menu is not inordinately extensive, but What.They. Do. to the...


More",Table,35,42,"April 21, 2015","Richmond, Virginia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Sue M,38.8949549,-77.0366456,37.53850870000001,-77.4342799,96.02676126284274,False,350.0
4.0,Excellent Food,"We had the tasting menus (the vegetarian and regular) and they were excellent. Good portions and nice interpretations of different dishes. Service was good and it was a crowded but quiet atmosphere, a nice change from the loud yuppie places filled with Cadillac liberals.",Table,5,5,"March 28, 2015",cwalsh5000,/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",cwalsh5000,38.8949549,-77.0366456,,,,,271.0
4.0,Great brunch,"We loved our brunch here. I had not heard much about Table for Brunch but we will be back. The service was great, the food delicious, and the server (maybe manager? owner?) was nice enough to proactively bring us three of the little buttermilk biscuits when we were figuring out how to split the one of that kind that we...


More",Table,13,9,"March 25, 2015","Washington, d.c.",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Deb2128,38.8949549,-77.0366456,36.29884975,-82.35919661410949,342.48621104719297,False,330.0
4.0,AWESOME!,"I have a new favorite restaurant. I like the casualness of the place. We ordered the vegetarian tasting menu with wine paring. I highly recommend doing this although it is a lot of food.
Beetroot soup was earthy and astonishingly good, as was the cauliflower meuniere, well actually it was all very good.
Our waiter was charming and attentive.",Table,78,29,"March 14, 2015","Washington DC, District of Columbia",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",DesnaDC,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,343.0
4.0,From a Washingtonian... MEH,"We had pretty high expectations of this restaurant since they've received a ton of hype in the press lately and reservations for 4 had to be booked well in advance. We had reservations at 7:45pm. Once we arrived we waited about 10 minutes and then they offered us to head down the street a half block to a local bar...


More",Table,59,52,"March 2, 2015",Washington DC,/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,1.0,81,"Washington, DC",Brian1111,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,325.0
4.0,Nice surprise,"Referred by the Marriott Hotel. This place is casual with a real fun menu,we had the venison stew and wild boar bolognese,both excellent.A big plus was the sommelier who steered us right on both wine selections.",Table,11,2,"February 18, 2015","Lake Como, New Jersey",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,4.0,81,"Washington, DC",jerseyfriar,38.8949549,-77.0366456,40.1709472,-74.02735940000002,183.2670883689308,False,211.0
4.0,Interesting experience,Basic dining format with many chefs working independently. Food was Ok to good but expensive. Good choice of food.,Table,102,60,"February 12, 2015","Farnborough, UK",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,3.0,81,"Washington, DC",stmalcolm,38.8949549,-77.0366456,51.2918693,-0.7539836,3653.6693471240155,False,114.0
4.0,Amazing Food and Excellent Service,"We went here for my Wife's Birthday Dinner. It had been recommended to me by a friend so we had no idea what to expect. We were all amused by the roll up see through front wall, that looks like a garage door, but once inside the restaurant was very cozy. It was not noisy at all and the service...


More",Table,64,28,"January 9, 2015","Washington DC, District of Columbia, USA",/Restaurant_Review-g28970-d3859572-Reviews-Table-Washington_DC_District_of_Columbia.html,5.0,81,"Washington, DC",Nick H,38.8949549,-77.0366456,38.8949549,-77.03664559999999,1.3688331711774772e-12,True,304.0
