restaurant_address,restaurant_overall_rating,user_review,restaurant_name,restaurant_phone,user_num_reviews,user_review_date,user_location,restaurant_url,user_rating,restaurant_num_reviews,restaurant_location,user_name
"406 21st Ave SNashville, TN 37203",3.0,"I used to love Panera which I don't know why. The only thing I constantly order from Panera is their medeteranian egg white breakfast sandwich but a couple of months ago, they changed the recipe. It used to have sundried tomatoes. Now, it has seasoned chopped tomatoes with maybe sundried tomato paste. Either way, Panera isn't all that.It's super expensive for what you get. Sure, it might be a healthier alternative than others but there are so many other alternatives like Newks which serves the same type of food. Better tasting and better price for the amount of food that you get.This location specifically is right next to Vanderbilt so it is constantly busy especially during lunch. The workers work fast and hard though so you really don't have to wait that much long. Somehow, even with that many people, there are also always tables available so it's not that bad.",Panera Bread,6153201500,87 reviews,2015-09-10,"Downtown, Nashville, TN",/biz/panera-bread-nashville-2,3.0,40,"Nashville, TN",Kristie A.
"406 21st Ave SNashville, TN 37203",3.0,It is your standard Panera which means I love it.Menu lists calorie counts for each item which is nice when you are trying to be goodDelicious salads that change with season changesAbility to order online and pick up at a specified time - this seemed to be one of the few in town where you can do that. Convenient when you are picking up for a group at work - they will have it waiting there all ready with your name and receipt on it.DRIVE THROUGH - this is THE BEST,Panera Bread,6153201500,1027 reviews,2015-08-11,"Nashville, TN",/biz/panera-bread-nashville-2,4.0,40,"Nashville, TN",Nickie G.
"406 21st Ave SNashville, TN 37203",3.0,I ordered the chicken tortellini which came out literally frozen. I was very disappointed across the board as our bagged soup also came out cold.,Panera Bread,6153201500,2 reviews,2015-10-14,"Lawton, OK",/biz/panera-bread-nashville-2,1.0,40,"Nashville, TN",Owen T.
"406 21st Ave SNashville, TN 37203",3.0,"Nice location, close to Vanderbilt university.  They offer healthy,  hearty items on their menu. They screwed up my order last night but when I asked them to give me the right dressing, they were so pleasant and gave me a complimentary bagel.",Panera Bread,6153201500,14 reviews,2015-05-19,"Huntington, NY",/biz/panera-bread-nashville-2,4.0,40,"Nashville, TN",Meaghan L.
"406 21st Ave SNashville, TN 37203",3.0,"Always a good place to sit and enjoy internet, people watching and good food. I decided to try something new today. Ordered the Southern Chicken Flatbread with corn chowder. I really like their corn chowder. The sandwich had a bit of a spicy kick, but the flatbread was too thick/heavy for the sandwich.Tasted more like a pita sandwich. They were very quick to get everything out and being early for lunch, there was plenty of space to find a seat.",Panera Bread,6153201500,311 reviews,2014-08-04,"Cartersville, GA",/biz/panera-bread-nashville-2,5.0,40,"Nashville, TN",Shannon W.
"406 21st Ave SNashville, TN 37203",3.0,"I'm not a Vanderbilt student, but I'd imagine that I'd spend a lot of time here if I was. If you've been to a Panera before, I'll keep this review brief and say upfront that it's basically on par with any of their other locations.If you haven't been before, think of Panera as your typical cafe, in the same 'genre' of 'upscale fast food' as Cosi, Au Bon Pain, Starbucks, and the like. It's a very comfortable, relaxing place to grab a quick lunch, catch up with friends, or camp out with books and a laptop to get work done over a few hours. The wi-fi works great, and there's plenty of outlets if you need to bunker down for a while.The food at Panera is also pretty great, and pricing is a tad high but generally agreeable. The best option is the ""Pick Two,"" where you can combine a half-sandwich with a soup or salad to get the most variety out of the menu. I also love the quiches, though you have to get there before 11am for that. It's nice that they rotate their menu pretty frequently; I'll visit Panera every few weeks, and there's often a new addition or two to the menu. Service at this location is pretty fast, which is also a plus, and the employees seem exceptionally friendly.",Panera Bread,6153201500,94 reviews,2014-04-07,"Nashville, TN",/biz/panera-bread-nashville-2,4.0,40,"Nashville, TN",Amol U.
"406 21st Ave SNashville, TN 37203",3.0,You buy a seven dollar half salad you expect the dressing when you get home.  Come on.  It's not rocket science.  It's quality control. It's doing your job at minimum wage.  Come on.,Panera Bread,6153201500,10 reviews,2015-08-02,"Nashville, TN",/biz/panera-bread-nashville-2,1.0,40,"Nashville, TN",Daniella B.
"406 21st Ave SNashville, TN 37203",3.0,"We ate at Panera Bread cafe 1697 for a light  lunch. Not being familiar with the menu, we tried to ask questions to the rude cashier, a young woman that must really hate her job. She wouldn't answer any our question, just the roll of her eyes. Wish I would have gotten her name. By the way, the food was delicious but someone with her personality is not the employee u want to represent your place of business.",Panera Bread,6153201500,1 review,2015-03-07,"Waynesboro, TN",/biz/panera-bread-nashville-2,2.0,40,"Nashville, TN",Tonya M.
"406 21st Ave SNashville, TN 37203",3.0,"As this is a chain it is important to make sure that the customer is able to have the ""same taste"" whichever location they go to.  I am a very good supporter of Panera because of their healthy foods.  As many know Panera is a little more pricey but never the less good food.  I gave this location a three because of the bruised apple I received, some what dirty bathrooms and terrible atmosphere.  When you walked into a place you definitely know if there is a good/clean atmosphere and it seems a little dirty when I walked in.  The food was still good and will definitely come back to a panera again.",Panera Bread,6153201500,75 reviews,2014-06-14,"Oklahoma City, OK",/biz/panera-bread-nashville-2,3.0,40,"Nashville, TN",Chris L.
"406 21st Ave SNashville, TN 37203",3.0,"Today, I only ate lunch here because the parking lot security guard at the adjoining parking lot told me that it was only for Panera customers. I had intentions to eat at San Antonio Taco Company. But alas, I did not want to re-park, so I went to Panera. Line was typical for lunch, read as LONG! Eventually ordered my staple Frontega Chicken Panini. Baked chips were okay, not much flavor besides salty. Overall, it was okay.",Panera Bread,6153201500,9 reviews,2015-01-30,"Nashville, TN",/biz/panera-bread-nashville-2,3.0,40,"Nashville, TN",Mike M.
